integration_id,from_component,to_component,flow_direction,integration_type,business_scenario,purpose,protocol_or_method,protocol,port,environment,criticality,owner,lifecycle_stage,prerequisite_integration_id,consumer_team,provider_team,review_status,expected_evidence,observability_point,last_tested_at,failure_impact,diagram_default,notes
INT-013,SKYSEA,Active Directory,input,認証,端末資産と利用者情報の関連付け,端末管理用の利用者情報参照,LDAP,TCP,389,IT,Medium,OpsTeam,ケース作成済,,OpsTeam,IdentityTeam,Open,端末台帳と利用者情報の参照結果,SKYSEA操作ログとAD参照ログ,2026-07-02,端末利用者情報が突合できない,core,資産管理向けの仮連携
INT-014,SKYSEA,Splunk,output,ログ連携,端末操作ログの集約,端末管理ログの監視連携,Syslog/API,TCP,443/514,IT,Medium,OpsTeam,ケース作成済,INT-013,OpsTeam,SecOps,Open,Splunk検索結果と操作ログ,SKYSEA監査ログとSplunk検索,2026-07-02,端末操作ログが集約されない,secondary,監視用途の仮連携
INT-015,Trellix HX,Splunk,output,監視,EDRイベントの監視集約,EDRイベントの監視連携,Syslog/API,TCP,443/514,IT,High,SecOps,実施中,,SecOps,SecOps,Open,アラート履歴とEDRイベント検索,Splunk相関検索とHXイベントログ,2026-07-03,EDRイベントが監視に上がらない,secondary,EDR監視用途の仮連携
INT-016,Trellix ePO,Trellix HX,output,設定反映,エージェントとポリシー統合管理,EDRポリシー配布と統合管理,Management API,TCP,443,IT,High,SecOps,ケース作成済,INT-015,SecOps,SecOps,Open,ポリシー配布結果と管理コンソール画面,ePO配布ログとHXエージェント状態,2026-07-03,HXへポリシーが反映されない,core,管理基盤の仮連携
INT-017,Tenable,VMware vSphere,output,監視,仮想サーバの脆弱性診断,仮想サーバの脆弱性スキャン連携,Scanner/API,TCP,443,IT,Medium,SecOps,ケース作成済,INT-004,SecOps,ServerTeam,Open,スキャン結果と対象資産一覧,Tenableスキャン結果とvSphere資産情報,2026-07-03,脆弱性診断対象が取得できない,core,脆弱性診断用途の仮連携
INT-018,IDEA CA,Active Directory,input,認証,証明書発行対象の利用者連携,認証局向けの利用者情報連携,LDAP/API,TCP,389/443,IT,High,IdentityTeam,ケース作成済,,IdentityTeam,IdentityTeam,Open,証明書発行結果と利用者情報参照ログ,CA発行ログとAD監査ログ,2026-07-04,証明書発行対象を正しく識別できない,core,認証局用途の仮連携
INT-019,Tripwire,Splunk,output,監視,改ざん検知イベントの集約,改ざん検知イベントの監視連携,Syslog/API,TCP,443/514,IT,High,SecOps,ケース作成済,,SecOps,SecOps,Open,改ざん検知イベントと検索結果,Splunk相関検索とTripwireイベントログ,2026-07-04,改ざん検知イベントが監視へ連携されない,secondary,改ざん検知用途の仮連携
INT-020,Horizon VDI,Active Directory,input,認証,VDI利用者のドメイン認証,仮想デスクトップ利用者認証,Kerberos/LDAP,TCP,88/389,IT,High,ServerTeam,実施中,,UserSupportTeam,IdentityTeam,Open,ログイン成功画面と認証ログ,VDI接続ログとAD認証ログ,2026-07-04,VDI利用者がログインできない,core,VDI認証用途の仮連携
INT-021,Horizon VDI,VMware vSphere,input,運用,仮想デスクトップ基盤のホスト連携,VDIホスト管理連携,Management API,TCP,443,IT,High,ServerTeam,ケース作成済,INT-020,ServerTeam,ServerTeam,Open,仮想デスクトップ一覧とホスト状態,VDI管理画面とvSphere状態画面,2026-07-04,仮想デスクトップを配備できない,core,VDIホスト用途の仮連携
INT-022,Veeam Backup,VMware vSphere,input,運用,仮想基盤バックアップ,バックアップ対象の取得と保護,Backup API,TCP,443,IT,High,ServerTeam,実施中,INT-004,OpsTeam,ServerTeam,Open,バックアップジョブ結果と復元ログ,Veeamジョブ履歴とvSphere資産一覧,2026-07-04,バックアップまたは復元が成立しない,core,バックアップ用途の仮連携
INT-023,FortiManager,FortiGate,output,設定反映,FWポリシーの統合管理,FortiGateポリシー配布管理,Management API,TCP,443,IT,High,NetworkTeam,ケース作成済,INT-003,NetworkTeam,NetworkTeam,Open,ポリシー配布結果と管理画面,FortiManager配布ログとFortiGate設定差分,2026-07-04,FWポリシーを一括反映できない,core,Forti管理用途の仮連携
INT-024,iDoperation,Active Directory,input,認可,特権IDの利用者管理,特権ID管理向けの利用者情報連携,LDAP/API,TCP,389/443,IT,High,IdentityTeam,ケース作成済,,OpsTeam,IdentityTeam,Open,特権ID付与結果と操作ログ,特権申請ログとAD監査ログ,2026-07-04,特権ID付与や棚卸が正しく行えない,core,特権管理用途の仮連携
INT-025,Themis,Horizon VDI,output,認証,VDI利用時の多要素認証,仮想デスクトップ向け多要素認証,Auth API,TCP,443,IT,High,IdentityTeam,ケース作成済,INT-020,UserSupportTeam,IdentityTeam,Open,MFA成功画面と認証履歴,Themis認証履歴とVDI接続ログ,2026-07-04,VDI利用時に多要素認証が成立しない,core,MFA用途の仮連携
INT-026,Splunk,Splunk SOAR,output,運用,検知イベントの自動化連携,セキュリティイベントの自動化連携,REST API,TCP,443,IT,High,SecOps,ケース作成済,INT-006,SecOps,SecOps,Open,プレイブック実行結果と連携ログ,SOARプレイブック履歴とSplunk検索,2026-07-05,検知イベントを自動処理できない,core,SOAR用途の仮連携
INT-027,Splunk,Splunk UEBA,output,監視,ユーザー行動分析向けイベント連携,ユーザー行動分析イベント連携,REST API,TCP,443,IT,High,SecOps,ケース作成済,INT-006,SecOps,SecOps,Open,分析結果とイベント取り込みログ,UEBA分析画面とSplunk検索,2026-07-05,行動分析用イベントを取り込めない,core,UEBA用途の仮連携
