integration_id,viewpoint_code,viewpoint_name,required,required_reason,status,test_case_id,test_depth,evidence_required,evidence_id,evidence_status,observability_point,last_tested_at,defect_id,owner,remarks
INT-018,AUTH,認証,Yes,利用者情報をもとに証明書発行対象を識別する必要がある,PLANNED,TC-018-001,Normal,Yes,,未取得,CA発行ログ,2026-07-04,,IdentityTeam,証明書発行対象の識別
INT-018,CFG,設定反映,Yes,証明書テンプレート設定を反映できる必要がある,PLANNED,TC-018-002,Normal,Yes,,未取得,テンプレート設定画面,2026-07-04,,IdentityTeam,証明書テンプレート設定
INT-019,DATA,データ連携,Yes,改ざん検知イベントがSplunkへ集約される必要がある,PLANNED,TC-019-001,Normal,Yes,,未取得,Splunkイベント検索,2026-07-04,,SecOps,改ざん検知イベント集約
INT-019,MON,監視,Yes,改ざん検知アラートを監視できる必要がある,PLANNED,TC-019-002,Abnormal,Yes,,未取得,相関アラート履歴,2026-07-04,,SecOps,改ざん検知アラート監視
INT-020,AUTH,認証,Yes,VDI利用者がドメイン認証できる必要がある,PLANNED,TC-020-001,Normal,Yes,,未取得,VDI接続ログ,2026-07-04,,ServerTeam,VDI利用者認証
INT-020,OPS,運用,Yes,セッション再接続時の認証動作を確認する必要がある,PLANNED,TC-020-002,Recovery,Yes,,未取得,再接続時のセッションログ,2026-07-04,,ServerTeam,セッション再接続時の認証
INT-021,OPS,運用,Yes,VDIホストの配備と状態取得ができる必要がある,PLANNED,TC-021-001,Normal,Yes,,未取得,VDIホスト状態画面,2026-07-04,,ServerTeam,VDIホスト配備
INT-021,PERF,性能,Yes,デスクトップ配備時の性能影響を確認する必要がある,PLANNED,TC-021-002,Stress,Yes,,未取得,配備性能メトリクス,2026-07-04,,ServerTeam,デスクトップ配備時の性能
INT-022,DATA,データ連携,Yes,バックアップ対象VMを取得できる必要がある,PLANNED,TC-022-001,Normal,Yes,,未取得,Veeamジョブ履歴,2026-07-04,,ServerTeam,バックアップ対象VM取得
INT-022,FAIL,障害,Yes,復元時の動作を確認する必要がある,PLANNED,TC-022-002,Recovery,Yes,,未取得,復元ジョブログ,2026-07-04,,ServerTeam,復元時の動作確認
INT-023,CFG,設定反映,Yes,FortiGateへポリシー配布できる必要がある,PLANNED,TC-023-001,Normal,Yes,,未取得,FortiManager配布ログ,2026-07-04,,NetworkTeam,FortiGateポリシー配布
INT-023,FAIL,障害,Yes,配布失敗時の切戻しを確認する必要がある,PLANNED,TC-023-002,Recovery,Yes,,未取得,切戻しログ,2026-07-04,,NetworkTeam,配布失敗時の切戻し
INT-024,AUTHZ,認可,Yes,特権IDの付与制御を確認する必要がある,PLANNED,TC-024-001,Normal,Yes,,未取得,特権申請ログ,2026-07-04,,IdentityTeam,特権ID付与制御
INT-024,OPS,運用,Yes,棚卸や申請承認フローを確認する必要がある,PLANNED,TC-024-002,Recovery,Yes,,未取得,棚卸結果と承認履歴,2026-07-04,,IdentityTeam,特権ID棚卸と承認
INT-025,AUTH,認証,Yes,VDI利用時に多要素認証が成立する必要がある,PLANNED,TC-025-001,Normal,Yes,,未取得,Themis認証履歴,2026-07-04,,IdentityTeam,MFA認証成功
INT-025,FAIL,障害,Yes,MFA失敗時の拒否動作を確認する必要がある,PLANNED,TC-025-002,Abnormal,Yes,,未取得,MFA失敗履歴,2026-07-04,,IdentityTeam,MFA失敗時の拒否動作
INT-026,DATA,データ連携,Yes,検知イベントがSOARへ渡る必要がある,PLANNED,TC-026-001,Normal,Yes,,未取得,SOARイベント受信ログ,2026-07-05,,SecOps,検知イベントの連携
INT-026,OPS,運用,Yes,プレイブック自動実行を確認する必要がある,PLANNED,TC-026-002,Recovery,Yes,,未取得,プレイブック実行履歴,2026-07-05,,SecOps,プレイブック自動実行
INT-027,DATA,データ連携,Yes,UEBA向けイベントが継続的に取り込まれる必要がある,PLANNED,TC-027-001,Normal,Yes,,未取得,UEBAイベント取り込みログ,2026-07-05,,SecOps,UEBA向けイベント取り込み
INT-027,MON,監視,Yes,ユーザー行動の異常検知結果を確認する必要がある,PLANNED,TC-027-002,Abnormal,Yes,,未取得,UEBA異常検知画面,2026-07-05,,SecOps,異常検知結果の確認
